Município;Mun_Total de casos;Mun_Total de óbitos;Letalidade Mun;Cód IBGE;Latitude;Longitude
Promissão;2;0;0,00%;3541604;-21,5356;-49,8599
Rancharia;1;0;0,00%;3542206;-22,2269;-50,893
Registro;4;1;25,00%;3542602;-24,4979;-47,8449
Ribeirão Pires;33;1;3,03%;3543303;-23,7067;-46,4058
Ribeirão Preto;80;5;6,25%;3543402;-21,1699;-47,8099
Rincão;1;0;0,00%;3543709;-21,5894;-48,0728
Rinópolis;1;0;0,00%;3543808;-21,7284;-50,7239
Rio Claro;14;3;21,43%;3543907;-22,3984;-47,5546
Rio Grande da Serra;9;0;0,00%;3544103;-23,7437;-46,3971
Salto;5;0;0,00%;3545209;-23,1996;-47,2931
Salto de Pirapora;6;0;0,00%;3545308;-23,6474;-47,5743
Santa Bárbara d'Oeste;2;1;50,00%;3545803;-22,7553;-47,4143
Santa Branca;2;1;50,00%;3546009;-23,3933;-45,8875
Santa Cruz do Rio Pardo;5;0;0,00%;3546405;-22,8988;-49,6354
Santa Gertrudes;1;0;0,00%;3546702;-22,4572;-47,5272
Santa Isabel;3;1;33,33%;3546801;-23,3172;-46,2237
Santa Lúcia;2;0;0,00%;3546900;-21,685;-48,0885
Santana de Parnaíba;55;0;0,00%;3547304;-23,4439;-46,9178
Santo André;247;12;4,86%;3547809;-23,6737;-46,5432
Santo Antônio da Alegria;1;1;100,00%;3547908;-21,0864;-47,1464
Santos;293;19;6,48%;3548500;-23,9535;-46,335
São Bernardo do Campo;297;20;6,73%;3548708;-23,6914;-46,5646
São Caetano do Sul;98;4;4,08%;3548807;-23,6229;-46,5548
São Carlos;9;2;22,22%;3548906;-22,0174;-47,886
São João da Boa Vista;5;0;0,00%;3549102;-21,9707;-46,7944
São Joaquim da Barra;2;0;0,00%;3549409;-20,5812;-47,8593
São José do Rio Pardo;1;0;0,00%;3549706;-21,5953;-46,8873
São José do Rio Preto;71;6;8,45%;3549805;-20,8113;-49,3758
São José dos Campos;136;3;2,21%;3549904;-23,1896;-45,8841
São Manuel;3;1;33,33%;3550100;-22,7321;-48,5723
São Miguel Arcanjo;2;0;0,00%;3550209;-23,8782;-47,9935
São Paulo;9668;700;7,24%;3550308;-23,5329;-46,6395
São Pedro;1;0;0,00%;3550407;-22,5483;-47,9096
São Roque;8;0;0,00%;3550605;-23,5226;-47,1357
São Sebastião;6;2;33,33%;3550704;-23,7951;-45,4143
São Vicente;48;1;2,08%;3551009;-23,9574;-46,3883
Serrana;1;0;0,00%;3551504;-21,2043;-47,5952
Sertãozinho;9;1;11,11%;3551702;-21,1316;-47,9875
Sorocaba;47;9;19,15%;3552205;-23,4969;-47,4451
Sumaré;5;0;0,00%;3552403;-22,8204;-47,2728
Suzano;80;6;7,50%;3552502;-23,5448;-46,3112
Taboão da Serra;116;7;6,03%;3552809;-23,6019;-46,7526
Tanabi;3;0;0,00%;3553401;-20,6228;-49,6563
Taquaritinga;1;0;0,00%;3553708;-21,4049;-48,5103
Taquarituba;1;0;0,00%;3553807;-23,5307;-49,241
Tarabai;2;0;0,00%;3553906;-22,3016;-51,5621
Tatuí;6;0;0,00%;3554003;-23,3487;-47,8461
Taubaté;6;0;0,00%;3554102;-23,0104;-45,5593
Terra Roxa;1;0;0,00%;3554409;-20,787;-48,3314
Tupã;2;0;0,00%;3555000;-21,9335;-50,5191
Ubatuba;2;0;0,00%;3555406;-23,4332;-45,0834
Valinhos;11;3;27,27%;3556206;-22,9698;-46,9974
Vargem Grande Paulista;9;3;33,33%;3556453;-23,5993;-47,022
Várzea Paulista;4;0;0,00%;3556503;-23,2136;-46,8234
Vinhedo;14;0;0,00%;3556701;-23,0302;-46,9833
Votorantim;6;1;16,67%;3557006;-23,5446;-47,4388
Votuporanga;8;0;0,00%;3557105;-20,4237;-49,9781
Outros estados;14;0;0,00%;;;
Outros países;42;0;0,00%;;;
Ignorado;7;0;0,00%;;;
;;;;;;
